city,date,fare,ride_id
Port Angela,17-04-2019 06:23,16.34,7.12053E+12
West Ericstad,04-04-2019 13:03,28.52,6.43285E+12
New Kimberlyborough,16-03-2019 01:38,17.19,2.77047E+12
Joneschester,30-01-2019 17:41,36.78,1.66403E+12
North Markport,26-04-2019 04:45,44.37,1.62842E+12
Hurleymouth,22-03-2019 11:19,32.85,8.44929E+12
Barajasview,15-01-2019 02:59,19.52,8.26811E+12
Grahamburgh,06-04-2019 13:48,23.87,1.46825E+12
South Michelleport,02-03-2019 09:54,33.12,8.13844E+11
Loganberg,07-01-2019 19:02,16.26,9.04538E+12
West Christopherberg,18-03-2019 17:14,12.64,1.06109E+12
Rogerston,23-02-2019 19:13,14.04,7.64714E+12
Huntermouth,24-02-2019 07:57,39.12,9.28039E+11
New Jacobville,09-02-2019 02:17,7.11,3.85505E+12
Lake Jonathanshire,07-04-2019 20:51,31.25,4.44125E+12
Port David,17-03-2019 14:42,33.11,1.02568E+12
Martinezhaven,20-02-2019 19:32,13.34,2.76069E+12
Port Frank,19-04-2019 19:35,26.47,6.72271E+12
Valentineton,02-03-2019 14:44,39.77,6.77039E+12
Hurleymouth,03-03-2019 11:28,36.31,1.67035E+11
Carriemouth,25-02-2019 08:26,32.37,6.91843E+12
Port Samanthamouth,16-04-2019 18:34,9.2,8.71225E+12
Williamsstad,23-01-2019 17:51,19.62,1.25986E+11
Royland,07-01-2019 02:23,24.5,3.62085E+12
New Jacobville,05-01-2019 05:02,34.11,2.82852E+12
Roberthaven,06-03-2019 22:56,12.38,3.37296E+12
South Evanton,07-01-2019 18:47,43.61,9.1225E+12
New Paulton,03-05-2019 12:09,21.67,9.08656E+12
Karenberg,11-03-2019 17:26,36.15,7.79676E+12
Rodneyfort,30-01-2019 12:34,16.99,5.77873E+12
East Kaylahaven,04-04-2019 02:35,23.18,57422927996
Huntermouth,19-02-2019 03:19,7.05,1.61652E+12
Barajasview,23-01-2019 13:23,37.68,4.10845E+12
Williamsstad,29-03-2019 21:43,35.58,4.74778E+12
North Jason,08-03-2019 20:06,25.21,3.18008E+12
Christopherfurt,17-04-2019 02:25,23.3,7.81906E+12
Liumouth,11-01-2019 17:15,36.78,1.46452E+12
Johnton,17-01-2019 02:12,32.19,8.5263E+12
West Angela,08-03-2019 01:08,41.06,6.20487E+12
Jerryton,04-01-2019 16:38,37.2,5.63787E+12
Erikaland,18-02-2019 07:47,20.62,3.29415E+12
North Jason,07-02-2019 07:27,20,4.7365E+11
Lake Scottton,05-05-2019 11:21,18.77,4.05382E+11
Simpsonburgh,22-03-2019 08:56,22.05,3.49518E+12
Raymondhaven,12-03-2019 06:59,16.98,6.4477E+12
West Robert,05-04-2019 03:18,44.58,4.24601E+12
North Jason,18-03-2019 10:10,6.41,2.86583E+12
Port Samanthamouth,23-01-2019 09:08,35.51,3.11686E+12
West Robert,21-01-2019 17:21,27.11,1.36991E+12
Jerryton,05-01-2019 15:36,37.91,1.58708E+12
Port Samanthamouth,03-02-2019 07:07,18.03,9.29219E+12
Liumouth,15-01-2019 07:55,14.55,4.37935E+12
West Heidi,03-04-2019 03:16,24.76,1.82023E+12
Loganberg,21-01-2019 16:26,22.86,1.9543E+12
Grahamburgh,17-02-2019 09:54,30.25,4.04793E+12
Raymondhaven,06-05-2019 23:22,25.76,8.72102E+12
Karenside,25-01-2019 15:35,14.52,2.65236E+12
Port Frank,06-04-2019 21:38,18.08,5.47489E+12
Leahton,02-04-2019 17:39,22.76,5.80873E+12
Port Samanthamouth,22-04-2019 03:32,29.67,3.15406E+12
Jerryton,13-04-2019 21:47,32.08,8.49918E+12
West Patrickchester,07-03-2019 15:47,23.66,3.06609E+12
West Samuelburgh,03-03-2019 16:07,27.48,1.00531E+11
North Markport,31-03-2019 13:58,29.41,3.09347E+12
West Angela,10-03-2019 11:23,27.1,1.36532E+12
Grahamburgh,12-03-2019 02:44,22.97,4.89801E+12
South Michelleport,08-01-2019 09:38,23.77,4.91616E+12
East Kaylahaven,02-04-2019 07:05,9.67,2.08846E+12
South Karenland,22-04-2019 21:37,22.86,6.72815E+12
Lake Danielberg,24-02-2019 12:05,9.63,9.14933E+12
Justinberg,26-04-2019 08:41,8.83,1.82309E+12
Karenberg,29-04-2019 20:54,28.41,9.05285E+12
South Phillip,09-02-2019 16:46,7.89,3.20319E+12
North Madeline,05-04-2019 18:23,29.69,2.40703E+11
New Kimberlyborough,01-05-2019 13:56,22.59,9.25093E+12
South Jack,24-04-2019 19:33,38.04,2.19799E+12
Erikaland,11-03-2019 02:19,27.39,1.32014E+11
New Paulville,27-03-2019 02:18,7.29,7.04676E+12
Hurleymouth,26-03-2019 20:22,41.15,4.70726E+12
Liumouth,12-04-2019 03:38,43.34,7.85723E+12
Deanville,01-05-2019 21:53,8.28,5.92955E+11
Karenside,02-04-2019 19:22,41.93,4.09361E+12
West Angela,30-01-2019 18:08,19.13,2.07814E+12
Liumouth,01-02-2019 20:17,24.81,5.47007E+12
Jerryton,27-03-2019 12:48,13.29,8.95984E+12
South Phillip,04-05-2019 09:10,28.3,8.69657E+12
Port Johnbury,27-04-2019 16:22,25.67,2.74633E+12
Raymondhaven,08-02-2019 23:57,5.7,3.93003E+12
Port David,07-03-2019 18:37,42.04,9.90596E+12
Robertport,06-03-2019 09:51,6.73,9.67976E+12
Loganberg,16-03-2019 11:46,23.99,9.4929E+12
Karenside,19-04-2019 10:17,36.01,1.32274E+12
Lake Jonathanshire,09-03-2019 23:45,19.89,2.3895E+12
Pattyland,30-01-2019 12:35,8.57,4.68889E+12
West Robert,13-04-2019 06:56,32.94,9.60361E+12
Justinberg,12-04-2019 05:27,17.03,8.37476E+12
West Josephberg,09-02-2019 14:07,4.42,8.30379E+12
North Markport,21-01-2019 11:49,27.68,4.55676E+12
Williamsview,09-01-2019 15:24,44.46,2.19553E+12
Raymondhaven,01-02-2019 05:51,13.86,8.72105E+12
South Latoya,12-02-2019 16:32,30.22,7.38842E+12
Deanville,29-03-2019 04:07,5.32,2.61267E+12
Amandaburgh,05-03-2019 02:15,26.28,9.06851E+11
Jerryton,27-01-2019 14:46,29.08,6.16053E+12
Deanville,24-03-2019 00:26,30.55,5.27611E+12
West Anthony,23-01-2019 12:32,23.24,5.96601E+11
West Anthony,24-02-2019 06:14,39.2,8.49141E+12
West Heidi,30-03-2019 10:46,22.41,1.71135E+12
Royland,01-01-2019 03:46,7.57,5.81538E+12
South Latoya,02-03-2019 06:06,10.35,3.38289E+11
Johnton,08-01-2019 17:33,43.75,1.95319E+11
West Angela,30-01-2019 18:46,32.31,7.28868E+12
Rodneyfort,08-01-2019 00:29,29.4,1.18425E+12
Royland,02-01-2019 20:08,10.19,6.68201E+11
New Paulville,31-01-2019 05:32,20.8,1.09284E+12
Huntermouth,09-04-2019 20:23,35.11,3.00561E+12
New Paulville,30-01-2019 15:21,7.02,8.50496E+12
Justinberg,03-05-2019 02:49,36.06,9.29542E+11
Port Angela,31-03-2019 15:22,30.77,6.62264E+11
Port Angela,09-04-2019 14:34,11.9,7.00981E+12
Christopherfurt,05-01-2019 22:21,33.51,1.90103E+12
South Michelleport,22-04-2019 03:15,43.62,4.66361E+12
Williamsstad,13-02-2019 20:07,33.72,3.79671E+12
Lake Jonathanshire,07-04-2019 18:09,24.28,7.79681E+12
Robertport,20-03-2019 19:11,20.21,9.63092E+12
Port Angela,08-02-2019 16:30,30.38,5.16554E+12
Barajasview,08-02-2019 18:07,24.49,2.61217E+12
South Evanton,24-01-2019 07:08,17.83,2.99666E+12
Lake Danielberg,13-02-2019 11:01,43.96,1.00024E+11
Royland,19-04-2019 00:05,25.4,9.84776E+12
Rodneyfort,08-02-2019 07:35,30.02,2.49702E+12
East Kaylahaven,17-01-2019 10:15,40.82,6.34249E+12
West Christopherberg,17-01-2019 14:30,9.04,5.15485E+12
New Jacobville,15-01-2019 15:27,27.24,3.81296E+12
Lake Jonathanshire,02-01-2019 14:14,13.89,4.24255E+11
Port Samanthamouth,25-04-2019 09:50,25.5,1.16913E+12
West Heidi,26-03-2019 09:45,22.33,8.26311E+11
Karenside,14-04-2019 05:11,13.13,3.65961E+12
Valentineton,01-02-2019 14:11,9.68,2.1321E+12
Raymondhaven,23-02-2019 11:13,4.24,2.94151E+11
Carriemouth,11-03-2019 21:35,16.78,1.51939E+12
West Josephberg,16-01-2019 16:17,7.04,2.50708E+12
Port Samanthamouth,01-03-2019 08:58,43.25,1.38918E+12
Karenberg,30-03-2019 11:38,24.64,4.53933E+12
New Paulton,10-03-2019 01:07,28,1.06716E+12
Joneschester,07-02-2019 18:36,6.34,2.60546E+12
North Jasmine,08-02-2019 19:03,4.86,1.27663E+12
Valentineton,27-02-2019 00:40,25.4,6.15236E+12
New Paulton,20-02-2019 16:59,24.29,7.73813E+12
South Evanton,28-04-2019 08:15,22.86,7.58536E+12
North Jasmine,22-01-2019 17:25,31.68,7.12302E+11
West Anthony,17-03-2019 00:30,35.42,4.56132E+12
Jerryton,29-04-2019 02:49,41.27,9.02958E+11
Grahamburgh,09-01-2019 07:00,13.55,5.4626E+12
South Jack,30-03-2019 20:21,4.2,4.81767E+12
West Christopherberg,23-01-2019 21:23,30.93,5.33568E+12
Lake Scottton,26-03-2019 00:49,9.79,1.8279E+12
West Patrickchester,14-01-2019 01:15,24.82,5.93494E+12
Royland,17-01-2019 14:08,27.92,3.14727E+12
South Karenland,14-02-2019 14:00,39.53,2.86164E+12
Erikaland,27-03-2019 13:11,36.52,2.19595E+12
Rodneyfort,20-03-2019 10:40,42.57,6.35495E+12
Williamsstad,01-05-2019 01:26,26.81,4.54295E+12
Richardfort,13-02-2019 12:46,14,9.1005E+11
West Ericstad,25-01-2019 12:29,20.03,3.27648E+12
Grahamburgh,05-03-2019 05:39,4.33,8.03729E+11
North Barbara,04-05-2019 02:33,24.09,9.27509E+12
West Robert,04-01-2019 06:10,35.35,9.55429E+12
Justinberg,14-03-2019 10:46,36.32,6.77169E+12
South Michelleport,03-03-2019 16:13,41.62,2.33978E+12
North Jasmine,22-02-2019 01:56,25.33,1.31997E+12
Barajasview,01-03-2019 11:06,28.25,7.22583E+12
Carriemouth,04-04-2019 13:22,12.91,4.27669E+12
Amandaburgh,24-02-2019 23:10,43.66,6.57382E+12
Johnton,27-03-2019 00:10,18.89,3.63407E+12
Port Angela,04-03-2019 03:26,40.35,4.93081E+12
Rodneyfort,06-05-2019 22:21,27.16,3.7655E+12
Amandaburgh,10-02-2019 20:42,36.17,6.45562E+12
North Madeline,25-02-2019 04:32,13.58,4.93284E+12
West Angela,01-03-2019 11:13,30.3,9.67353E+12
Joneschester,03-01-2019 05:45,25.47,5.54018E+12
Joneschester,03-01-2019 01:03,17.97,5.43931E+12
South Phillip,29-01-2019 11:26,35.23,7.41823E+12
Liumouth,30-03-2019 03:13,4.66,3.16444E+12
West Anthony,10-01-2019 02:31,32.34,1.47932E+12
North Jason,26-02-2019 11:57,13.88,2.49498E+12
North Jason,21-03-2019 09:45,10.42,6.60154E+12
Carriemouth,28-04-2019 14:28,11.46,6.99185E+12
Huntermouth,04-05-2019 15:20,36.77,7.18662E+12
South Phillip,18-04-2019 06:03,39.95,9.71902E+12
South Jack,01-02-2019 22:32,28.37,3.37201E+12
Port Johnbury,05-05-2019 06:26,25.3,2.54102E+12
South Phillip,06-05-2019 05:05,43.43,2.4352E+12
North Jasmine,10-04-2019 11:45,38.24,2.955E+12
South Michelleport,27-01-2019 19:38,15.45,7.46526E+12
North Madeline,07-04-2019 08:54,32.99,1.81935E+12
Christopherfurt,24-02-2019 02:56,40.33,9.58419E+12
Williamsstad,23-02-2019 17:42,4.68,9.10997E+12
Martinezhaven,18-04-2019 01:40,34.7,2.02309E+12
Simpsonburgh,03-04-2019 08:47,4.74,8.55633E+12
New Jacobville,04-02-2019 04:57,27.63,4.32915E+12
South Karenland,12-02-2019 03:42,5.78,8.89044E+12
Royland,27-01-2019 01:01,24.56,9.65671E+12
Karenside,22-01-2019 13:11,24.72,5.32673E+12
West Robert,05-05-2019 05:18,10.15,9.39218E+12
Port Samanthamouth,27-04-2019 08:48,12.84,5.65991E+12
West Samuelburgh,07-03-2019 01:51,14.55,7.16036E+12
New Kimberlyborough,29-03-2019 20:35,42.51,8.29694E+12
Port David,27-03-2019 11:56,15.64,5.33848E+12
Karenside,18-03-2019 12:48,36.96,7.60514E+12
New Paulton,08-02-2019 17:11,39.65,8.50596E+12
West Ericstad,08-01-2019 09:03,32.99,6.68834E+12
Port Johnbury,21-03-2019 02:20,32.8,5.45093E+12
Port Samanthamouth,27-03-2019 00:31,16.05,1.41228E+12
Port Frank,08-01-2019 23:51,42.13,2.09916E+12
Lake Jonathanshire,06-04-2019 11:30,16.84,6.16445E+12
West Angela,05-02-2019 18:53,36.37,7.83243E+12
Port Samanthamouth,27-03-2019 01:08,21.46,9.99154E+12
North Madeline,04-03-2019 17:20,21.38,9.54449E+12
Williamsview,15-01-2019 00:10,44.33,4.62703E+12
Grahamburgh,21-02-2019 06:55,22.65,8.16396E+11
South Evanton,06-03-2019 03:56,30.87,5.81192E+12
Loganberg,27-03-2019 13:32,4.72,6.12069E+12
Carriemouth,21-02-2019 16:38,44.18,4.52859E+12
Port David,02-01-2019 11:51,7.45,6.14835E+12
West Heidi,30-01-2019 12:59,30.84,8.93656E+12
Williamsstad,05-03-2019 02:33,25.02,1.31321E+12
North Barbara,04-02-2019 08:12,42.59,4.97125E+12
Lake Danielberg,17-03-2019 19:23,10.18,4.7144E+12
North Markport,13-04-2019 07:37,20.09,4.31121E+12
Port Angela,02-05-2019 04:14,35.76,7.94596E+12
Port Samanthamouth,15-03-2019 15:08,25.97,7.72596E+12
West Angela,03-05-2019 09:04,24.07,7.80819E+12
Leahton,21-02-2019 20:37,24.13,6.75967E+12
North Markport,28-04-2019 04:34,40.46,2.56789E+12
Karenside,09-03-2019 03:50,40.86,1.75754E+12
Jerryton,07-01-2019 12:05,7.86,7.0733E+11
South Michelleport,14-04-2019 01:20,37.93,1.53327E+12
Valentineton,25-03-2019 20:45,22.53,2.33505E+12
East Kaylahaven,09-04-2019 16:57,10.03,8.03681E+12
Erikaland,13-04-2019 12:26,25.22,4.84717E+12
West Christopherberg,08-01-2019 08:25,37.78,8.76706E+12
Pattyland,01-02-2019 22:43,32.03,2.85024E+12
Deanville,08-02-2019 23:33,21.22,4.78681E+12
West Christopherberg,21-03-2019 00:14,43.87,5.08548E+12
Justinberg,23-03-2019 06:28,30.58,3.5033E+12
Lake Danielberg,24-02-2019 19:34,34.82,2.44227E+12
Port Samanthamouth,30-01-2019 01:19,38.78,6.11983E+12
Lake Danielberg,28-02-2019 15:08,44.96,6.31959E+12
Deanville,15-04-2019 01:36,24.3,1.0653E+12
Pattyland,15-02-2019 15:13,44.03,1.55666E+12
Karenside,27-01-2019 08:52,7.65,4.7323E+11
Port Angela,22-04-2019 16:43,7.91,6.76731E+12
West Angela,14-04-2019 18:40,32.77,4.99573E+12
South Karenland,26-03-2019 06:12,35.5,1.48239E+12
New Jacobville,18-02-2019 21:09,39.97,8.0287E+12
Roberthaven,14-03-2019 16:12,36.84,4.12341E+12
Lake Scottton,24-04-2019 11:54,5.31,9.66834E+12
Amandaburgh,11-01-2019 02:22,29.24,7.2799E+12
Reynoldsfurt,05-05-2019 17:38,14.95,1.40473E+12
West Patrickchester,09-02-2019 05:54,16.1,9.11233E+12
Christopherfurt,13-04-2019 08:29,37.22,3.28805E+12
South Evanton,27-04-2019 00:58,27.78,9.37758E+12
Lake Scottton,07-02-2019 05:08,10.76,4.20125E+12
Roberthaven,14-03-2019 15:24,35.27,4.03456E+12
Rodneyfort,04-03-2019 15:13,28.69,2.75698E+11
West Josephberg,17-02-2019 06:28,41.49,2.82133E+12
Lake Jonathanshire,21-03-2019 00:18,37.95,8.35366E+12
Simpsonburgh,05-02-2019 16:02,25.58,2.0387E+12
West Heidi,19-03-2019 03:15,5.65,2.47479E+12
North Barbara,23-03-2019 20:59,23.76,5.55027E+12
North Jasmine,11-03-2019 21:03,37.93,4.22138E+12
West Gabriel,29-04-2019 01:22,36.7,4.1035E+12
Liumouth,14-04-2019 06:43,31.63,6.16629E+12
Carriemouth,02-03-2019 15:40,28.04,5.13854E+12
West Robert,24-03-2019 15:21,34.9,9.47233E+12
North Jasmine,02-05-2019 10:24,29.86,3.19899E+12
Carriemouth,21-03-2019 15:40,44.64,9.56084E+12
Lake Scottton,15-02-2019 06:49,22.75,8.38204E+12
North Madeline,12-04-2019 13:57,7.77,9.27334E+12
Lake Danielberg,07-01-2019 09:41,17.39,4.35554E+12
North Madeline,30-04-2019 16:02,37.48,2.50813E+12
Port David,07-01-2019 20:03,20.49,5.84626E+12
Royland,11-02-2019 03:46,30.41,7.2001E+12
West Samuelburgh,20-02-2019 01:05,19.65,6.62379E+12
West Angela,18-03-2019 12:08,34.05,5.33241E+12
West Patrickchester,06-03-2019 04:19,32.37,3.68467E+12
Port Frank,05-02-2019 10:34,20.1,4.44307E+12
New Kimberlyborough,09-02-2019 05:48,39.55,6.01005E+12
Justinberg,20-04-2019 07:37,29.07,2.09655E+11
West Angela,18-04-2019 12:07,16.18,5.7701E+12
Justinberg,10-03-2019 09:19,37.89,5.56313E+12
Valentineton,10-01-2019 17:29,19.91,7.74511E+11
Williamsview,07-04-2019 00:32,18.92,23948941587
South Jack,31-01-2019 02:51,21.75,6.97116E+12
Port Frank,18-02-2019 18:49,39.06,7.30185E+12
Leahton,13-02-2019 11:40,16.79,4.74479E+12
South Michelleport,22-02-2019 07:44,22.52,8.52274E+12
South Karenland,25-04-2019 14:44,24.86,1.30771E+12
Richardfort,16-02-2019 13:52,17.92,8.20639E+11
Williamsstad,16-04-2019 23:07,23.12,9.69458E+11
South Michelleport,12-02-2019 07:41,27.7,5.58288E+12
West Patrickchester,13-04-2019 19:49,33.33,1.83406E+12
Martinezhaven,18-04-2019 18:37,5.81,2.12425E+12
North Jason,23-01-2019 22:51,21.95,6.7018E+12
North Jason,18-04-2019 12:19,22.42,4.92779E+12
Lake Scottton,03-05-2019 22:33,9.01,1.28976E+12
West Christopherberg,01-03-2019 21:33,11.97,6.42255E+12
North Markport,10-04-2019 22:15,38.02,8.83453E+12
Christopherfurt,09-04-2019 00:32,29.96,9.82584E+12
North Madeline,29-01-2019 16:12,17.57,2.59646E+12
Richardfort,01-02-2019 20:18,10.26,9.55494E+12
South Phillip,25-01-2019 05:04,38.15,3.59916E+12
East Kaylahaven,11-02-2019 00:24,43.19,8.67104E+12
Rodneyfort,11-04-2019 02:57,36.3,9.04891E+12
Pattyland,26-04-2019 08:31,19.99,8.82778E+12
South Karenland,24-03-2019 23:37,41.44,6.04857E+11
Port David,24-03-2019 21:58,28.84,5.26678E+12
Rodneyfort,10-03-2019 05:23,29.13,4.63491E+12
New Paulton,02-02-2019 16:37,17.19,8.50043E+12
Williamsstad,12-03-2019 01:39,18.67,2.16183E+12
South Michelleport,29-01-2019 20:40,9.79,5.52906E+12
West Christopherberg,21-03-2019 02:57,21.41,7.7034E+12
Lake Scottton,25-03-2019 21:46,36.92,7.04364E+12
Port Angela,19-03-2019 12:32,17.21,1.69421E+12
Christopherfurt,17-04-2019 22:12,32.39,6.53652E+11
Joneschester,27-02-2019 08:19,33.34,2.38609E+12
Loganberg,25-01-2019 01:59,26.03,9.12375E+12
South Phillip,19-02-2019 13:19,33.07,8.51816E+12
Deanville,23-01-2019 13:00,42.45,7.28621E+12
New Kimberlyborough,30-01-2019 21:46,29.09,8.58712E+12
Port Johnbury,11-04-2019 10:26,9.1,7.80475E+12
West Patrickchester,19-04-2019 03:26,44.5,8.63832E+12
West Robert,11-01-2019 11:10,5.16,1.59259E+12
New Paulton,28-03-2019 03:35,14.94,3.70349E+12
South Latoya,19-03-2019 16:19,31.72,3.63818E+11
Robertport,18-02-2019 15:01,43.47,7.99569E+12
Valentineton,19-01-2019 19:40,6.71,9.05271E+12
South Latoya,18-01-2019 20:09,10.98,7.14419E+12
Simpsonburgh,12-01-2019 04:35,24.83,3.15166E+12
West Patrickchester,12-02-2019 16:33,22.64,4.55373E+12
Richardfort,17-04-2019 02:26,23,7.20021E+11
Hurleymouth,20-02-2019 10:47,17.07,7.0237E+12
Leahton,27-01-2019 08:09,29.36,2.92181E+12
West Anthony,29-04-2019 01:12,27.04,4.37535E+12
New Kimberlyborough,05-01-2019 09:33,39.47,2.81269E+12
South Latoya,19-03-2019 22:03,40.29,6.60213E+11
Williamsstad,12-04-2019 12:30,17.57,7.09968E+12
South Karenland,01-02-2019 19:45,31.64,9.37735E+12
North Jason,16-04-2019 15:23,24.07,9.72612E+12
West Angela,27-01-2019 09:35,9.24,2.62313E+12
Lake Danielberg,08-02-2019 05:58,10.31,2.46453E+12
Port Samanthamouth,06-04-2019 13:42,24.18,8.48462E+12
New Jacobville,09-02-2019 02:25,37.51,5.69207E+12
New Kimberlyborough,10-03-2019 13:55,10.83,1.55858E+12
New Kimberlyborough,08-01-2019 18:59,13.34,6.26984E+11
Karenberg,05-03-2019 01:38,44.1,9.22678E+12
South Phillip,11-04-2019 10:09,21.06,4.8321E+12
Loganberg,20-01-2019 01:34,38.66,7.23915E+12
Carriemouth,01-05-2019 04:53,10.97,8.79211E+12
West Patrickchester,21-01-2019 14:48,19.44,2.08837E+12
Martinezhaven,07-02-2019 21:45,4.31,9.33333E+12
Karenside,08-01-2019 08:49,22.64,2.41162E+12
North Jason,24-03-2019 07:40,32.72,7.96029E+12
Lake Danielberg,28-03-2019 09:56,28.53,9.80825E+12
Pattyland,03-04-2019 03:29,14.06,5.39901E+12
Pattyland,21-02-2019 17:53,7.06,5.80846E+12
Loganberg,11-01-2019 04:27,44.34,1.37654E+12
Leahton,28-02-2019 13:10,9.08,8.1975E+12
Reynoldsfurt,17-01-2019 21:35,24.84,5.00018E+12
Raymondhaven,22-02-2019 23:54,7.64,7.31172E+12
South Latoya,12-02-2019 22:59,5.54,8.3976E+11
Lake Scottton,18-01-2019 02:32,31.92,5.70629E+12
Port David,24-02-2019 22:20,35.63,3.35453E+12
Roberthaven,05-04-2019 14:01,31.09,1.01622E+12
Rogerston,24-03-2019 02:56,39.6,9.19619E+12
Karenberg,27-04-2019 14:57,44.73,3.80072E+12
Martinezhaven,14-04-2019 16:26,32.57,9.71302E+11
South Evanton,20-01-2019 23:10,25.94,3.43171E+12
North Jasmine,26-04-2019 12:08,35.33,6.85733E+12
Hurleymouth,12-01-2019 01:19,10.64,8.1256E+12
West Robert,07-03-2019 15:57,12.22,2.7056E+12
Deanville,21-04-2019 23:32,33.37,7.76308E+12
South Michelleport,09-01-2019 01:48,10.68,3.23691E+12
Royland,02-02-2019 12:51,42.52,7.83542E+12
Rodneyfort,10-04-2019 23:38,25.4,9.06037E+12
North Madeline,12-01-2019 09:42,20.82,8.11479E+12
Lake Danielberg,28-04-2019 04:00,39.82,7.8891E+12
Port Johnbury,02-05-2019 12:46,42.42,3.24538E+12
Richardfort,21-04-2019 03:44,9.54,3.69815E+12
Liumouth,22-03-2019 04:06,33.1,3.67856E+12
Roberthaven,21-01-2019 19:25,23.14,4.93914E+12
Amandaburgh,21-01-2019 04:12,9.26,5.52843E+12
South Evanton,25-04-2019 00:37,26.84,1.53924E+12
Port Samanthamouth,25-03-2019 13:20,34.94,8.21747E+11
South Michelleport,13-03-2019 04:21,10.44,5.68486E+12
North Madeline,14-01-2019 03:43,31.88,8.713E+12
Hurleymouth,17-03-2019 06:50,29.95,5.22518E+12
Port David,10-04-2019 14:27,26.68,5.36139E+12
Pattyland,10-02-2019 02:55,24.39,7.26485E+12
Liumouth,17-03-2019 19:21,19.05,9.11827E+12
Robertport,03-04-2019 01:20,15.14,6.66972E+12
Hurleymouth,01-04-2019 06:26,9.94,4.06343E+12
West Samuelburgh,17-04-2019 11:25,15.03,4.02153E+12
South Phillip,18-03-2019 04:11,17.57,8.431E+12
West Josephberg,29-01-2019 02:13,7.58,6.14297E+12
Roberthaven,16-02-2019 10:23,14.95,6.65368E+12
West Christopherberg,27-03-2019 23:57,21.55,2.20181E+12
